ID,Thread,Date,Category,Primary,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,Evidence type,Resolution,Public artifact / outcome,External migration,Evidence strength,Source URL,Analytical note
1,Welcome to Lab Automation Forums,2022-08-19,Site Feedback,B1,1,0,0,0,0,0,0,0,0,1,Community process,Informational,Forum itself,No,3,https://labautomation.io/t/welcome-to-lab-automation-forums/7,Founding statement identifies closed practices and absence of a common venue.
2,Database storing common Labware specifications,2022-08-23,Open Source,B1,1,0,0,1,0,0,0,0,0,1,Design discussion,Open / migrated,Slack collaboration and repository proposals,Yes,4,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103,"Rich discussion of fields, provenance, geometry, validation, hosting, and governance. Primary re-coded from B4 to B1 under the primary-code tie-break: the initiating post asks for a shared labware database rather than reporting a defective representation, and B1's boundary test is the one that fails because a maintained canonical corpus would satisfy the request. B4 is retained as direct support because named physical attributes are discussed throughout."
3,Contributing to PLR Documentation,2024-02-24,PyLabRobot Development,B10,1,0,0,0,0,0,0,0,0,1,Documentation workflow,Confirmed,Documented contribution path,No,4,https://labautomation.io/t/contributing-to-plr-documentation/3054,Concrete low-friction route for community documentation edits.
4,50ul Tip Troubleshooting Report / Post-Mortem,2024-02-17,PyLabRobot Development,B4,1,0,0,1,1,0,0,1,0,1,Incident / post-mortem,Confirmed,Post-mortem and merged code,No,4,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,Multi-cause physical-definition defect with dated diagnosis and correction.
5,User feedback on Schedulers,2023-02-21,Schedulers,B7,1,1,0,0,0,0,1,0,0,1,Comparative discussion,Mixed,Practitioner and vendor testimony,No,4,https://labautomation.io/t/user-feedback-on-schedulers/1106,"Discusses drivers, deployment, training, documentation, scale, and licensing. B1 added: the linked public integration guide in T05-E3 is a produced public artifact, which is B1 required evidence."
6,Open source scheduler,2022-12-09,Schedulers,B7,1,1,0,0,0,0,1,0,0,1,Ecosystem discussion,Open,Project and standard links,No,3,https://labautomation.io/t/open-source-scheduler/819,Shows disagreement over scope and dependence on device connectivity.
7,In-House Drivers Integration,2025-09-24,Integrated Devices,B2,1,1,0,0,0,0,0,0,1,1,Implementation discussion,Partial,Prototype code and possible PLR contribution,Partial,4,https://labautomation.io/t/in-house-drivers-integration/6619,"Shows AI-assisted coding, vendor manuals, real-device validation, and maintainer onboarding."
8,Driver development tips for Cellario Scheduler,2025-01-07,Schedulers,B2,1,1,0,0,0,0,0,0,0,1,Support request,Open,None identified,No,3,https://labautomation.io/t/driver-development-tips-for-cellario-scheduler/5336,Requests basic driver architecture and call semantics.
9,Tecan Driver Framework Licence,2026-02-13,Tecan,B2,0,1,1,0,0,0,0,0,0,1,Licensing / integration incident,Partial,Workarounds and technical explanation,No,4,https://labautomation.io/t/tecan-driver-framework-licence/7297,License availability affects integration and internal labware-state synchronization.
10,Temp control device - Venus,2023-03-25,PyLabRobot Development,B2,1,1,0,0,0,0,0,0,0,1,Implementation attempt,Unresolved / paused,None identified,No,4,https://labautomation.io/t/temp-control-device-venus/1284,Progress stopped after firmware information and reverse-engineering obstacles.
11,Hamilton Venus 6 COM Interface,2025-04-07,Hamilton (Venus),B2,0,1,1,0,0,0,0,0,0,1,Compatibility request,Open,None identified,No,3,https://labautomation.io/t/hamilton-venus-6-com-interface-different-from-venus-4/5834,Existing interface ceased to work after major version change.
12,Release: Plate reader support in PyLabRobot,2022-12-23,PyLabRobot Development,B2,1,1,0,0,0,0,0,0,0,1,Open-source release,Released,Public code and contribution guide,No,4,https://labautomation.io/t/release-plate-reader-support-in-pylabrobot-starting-with-clariostar/881,Positive example of portable interface creation and public extension.
13,Tecan Fluent Version Control (git),2025-09-25,Tecan,B3,1,1,1,0,1,1,0,0,0,1,Configuration incident,Partial / recovered,Diagnostic explanation and rollback,No,4,https://labautomation.io/t/tecan-fluent-version-control-git/6636,"Git operation interacted with actively maintained recovery runtime state. B2 and B1 added: T13-E3 links a public PyFluent bridge with a preprint and code, which is both an implementation path for device control and a maintained public artifact."
