Episode ID,Thread ID,Thread,Episode summary,Lifecycle stage,Primary technical code,Ecosystem modifiers,Evidence form,Detectability,Consequence / analytical outcome,Resolution class,Public artifact,Counterexample to,Source URL,First post anchor,Coding confidence,Coding note
T02-E1,2,Database storing common Labware specifications,"A practitioner cannot find a common source for dimensions, tolerances, material, part numbers, and related labware properties.",Design,B4,B1; B10,Problem statement,Design-time,Duplicated discovery and incomplete physical models,Open,Repository/database proposal,,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103,,High,Primary obstacle is the absence of a trusted physical-resource record.
T02-E2,2,Database storing common Labware specifications,The collaboration grows to roughly fourteen participants and moves its main coordination to a Slack channel.,Community maintenance,B1,B10,Process observation,Post hoc,Public discoverability is reduced even as collaboration progresses,Open / migrated,Slack and meeting process,,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103,,High,Canonicalization and public retention are the central analytical issue.
T02-E3,2,Database storing common Labware specifications,PyLabRobot contributors describe a lightweight hardware-independent resource model and reuse of imported Hamilton resources with Opentrons.,Implementation,B4,B1,Maintainer explanation,Design-time,A portable representation reduces duplicated platform-specific definitions,Partial,Public library implementation,B4,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103/65,https://labautomation.io/t/database-storing-common-labware-dwps-etc-specifications/103/65,High,"Positive case: an abstract model supports reuse, although evidence and completeness remain separate."
T04-E1,4,50ul Tip Troubleshooting Report / Post-Mortem,A tip definition works on the original contributor's machine but another user cannot pick up the tip.,Execution,B4,B10,Cross-machine incident,Wet / hardware run,Physical definition does not transfer across machines,Confirmed,Corrected definition,,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,,High,Local success did not establish portable validity.
T04-E2,4,50ul Tip Troubleshooting Report / Post-Mortem,Troubleshooting identifies four separate definition and positioning issues.,Diagnosis,B4,B5; B8,Post-mortem,Post-run diagnosis,Multiple interacting physical-representation defects,Confirmed,Merged code and diagnostic record,,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,,High,Supports multi-cause incident coding rather than a single generic geometry code.
T04-E3,4,50ul Tip Troubleshooting Report / Post-Mortem,"The contributors publish dates, lessons, and polished fixes merged to the main branch.",Community maintenance,B1,B10,Public post-mortem,Post hoc,Tacit diagnosis is converted into a reusable public artifact,Confirmed,Post-mortem plus merged PRs,B1,https://labautomation.io/t/50ul-tip-troubleshooting-report-post-mortem/3009,,High,"Counterexample to B1 only: tacit cross-machine diagnosis became a dated public artifact, while the recommended procedure still ends in contacting the named collaborators, which remains positive evidence for B10."
T05-E1,5,User feedback on Schedulers,"The initiating question seeks comparisons on deployment speed, device breadth, and user experience across orchestration products.",Procurement,B7,B10,Comparative request,Design-time,Products cannot be compared without common capability and outcome definitions,Mixed,Practitioner and vendor testimony,,https://labautomation.io/t/user-feedback-on-schedulers/1106,,High,The requested dimensions mix scheduler capability with implementation and support.
T05-E2,5,User feedback on Schedulers,Participants argue that a major commercial advantage comes from licensed device drivers.,Architecture,B2,B7,Practitioner testimony,Design-time,Connectivity access constrains orchestration feasibility,Mixed,None,,https://labautomation.io/t/user-feedback-on-schedulers/1106,,High,"The immediate mechanism is interface accessibility, not scheduling logic."
T05-E3,5,User feedback on Schedulers,A contributor links a small guide for integrating third-party equipment and asks for clearer scheduler requirements.,Community support,B2,B1; B10,Public guidance,Design-time,A public example lowers integration-discovery burden,Partial,Linked integration guide,B1,https://labautomation.io/t/user-feedback-on-schedulers/1106/10,https://labautomation.io/t/user-feedback-on-schedulers/1106/10,High,Positive artifact despite unresolved product-comparison question.
T07-E1,7,In-House Drivers Integration,A laboratory considers building third-party device drivers in-house for cost and flexibility.,Design,B2,B10,Implementation request,Design-time,Unclear starting point for device integration,Open,None at initiation,,https://labautomation.io/t/in-house-drivers-integration/6619,,High,Classic integration-access episode.
T07-E2,7,In-House Drivers Integration,A reply proposes using current AI coding tools and API command sets to bootstrap scripts or command-line executables.,Implementation,B9,B2,Expert proposal,Design-time,"Initial coding effort may fall, but inefficiencies and errors remain expected",Partial,Suggested implementation path,,https://labautomation.io/t/in-house-drivers-integration/6619,,High,"AI changes effort, not interface availability or validation requirements."
T07-E3,7,In-House Drivers Integration,"A practitioner distinguishes instrument drivers, software drivers, and cases requiring both, then recommends normalized service wrappers.",Architecture,B2,,Expert explanation,Design-time,Integration scope is broader than a single command wrapper,Partial,Architecture pattern,B2,https://labautomation.io/t/in-house-drivers-integration/6619/3,https://labautomation.io/t/in-house-drivers-integration/6619/3,High,"Positive pattern: normalized internal contracts can reduce vendor coupling. B3 modifier removed: the episode records no artifact type, state store, deployment step, or rollback evidence, so the co-code was topical adjacency rather than direct support."
T07-E4,7,In-House Drivers Integration,Later discussion identifies missing public communication about available connectors and how to implement a server or connector.,Community support,B10,B1; B2,Documentation-gap observation,Design-time,Existing standards remain difficult to adopt because implementation knowledge is undiscoverable,Partial,Tutorial and template links later supplied,,https://labautomation.io/t/in-house-drivers-integration/6619?page=2,,High,Separate documentation episode within an integration thread.
T09-E1,9,Tecan Driver Framework Licence,A driver is visible or installable but cannot be used without an additional framework licence.,Deployment,B2,B10,Licensing incident,Deployment-time,Integration is blocked despite nominal driver availability,Partial,Workaround discussion,,https://labautomation.io/t/tecan-driver-framework-licence/7297,,High,IAS must code license clarity and usability separately from driver existence.
T09-E2,9,Tecan Driver Framework Licence,External control requires a way to keep the platform's internal labware and device state synchronized.,Execution,B3,,Technical explanation,Runtime,External action can diverge from internal platform state,Partial,Technical workaround discussion,,https://labautomation.io/t/tecan-driver-framework-licence/7297,,Medium,"State synchronization is distinct from licence access. B5 modifier removed: no logs, event fields, or trace relationships are recorded; the divergence is runtime state, which the episode's primary code B3 already carries."
T13-E1,13,Tecan Fluent Version Control (git),Tracking a broad vendor database directory captures a workspace that is continuously maintained as recovery runtime state.,Deployment,B3,B6,Configuration incident,Runtime / deployment,Source-control restoration is overwritten by active runtime behavior,Partial / recovered,Diagnostic explanation,,https://labautomation.io/t/tecan-fluent-version-control-git/6636,,High,Strong evidence that source and active recovery state are entangled.
T13-E2,13,Tecan Fluent Version Control (git),Participants describe recovery as unreliable or painful and therefore avoid versioning broader state.,Recovery,B6,B10,Practitioner testimony,Runtime,Fear of recovery failure constrains configuration-management scope,Open,None,,https://labautomation.io/t/tecan-fluent-version-control-git/6636?page=2,,High,Reported experience; not an independently measured reliability rate.
T13-E3,13,Tecan Fluent Version Control (git),The discussion later links a public PyFluent bridge connecting open Python automation with proprietary control.,Community maintenance,B2,B1; B3,Public project update,Design-time,A maintained bridge creates a reusable integration path,Released,Public preprint and code,B2,https://labautomation.io/t/tecan-fluent-version-control-git/6636?page=2,,Medium,Counterexample to complete interface closure; maintenance and coverage still require evaluation.
T21-E1,21,PLR Carrier z-Height Issue,"An imported field named dz encodes different semantics across resources, producing incorrect well placement.",Design,B4,,Technical diagnosis,Design-time / simulation,Semantic import error can propagate across resource definitions,Open / partial,PR discussion,,https://labautomation.io/t/plr-carrier-z-height-issue/3056,,High,Representation defect includes both missing field and incorrect meaning. B3 modifier removed: an imported field's semantics is a representation defect with no configuration or runtime coupling evidence.
T21-E2,21,PLR Carrier z-Height Issue,The model lacks a required skirt or pedestal relation and cannot infer rack-versus-container behavior from available files.,Design,B4,B10,Measurement and model discussion,Design-time,General physical placement cannot be computed from current attributes,Open,Crowdsourcing proposal,,https://labautomation.io/t/plr-carrier-z-height-issue/3056?page=2,,High,Explicit missing physical attribute.
T21-E3,21,PLR Carrier z-Height Issue,"Contributors propose measurements, visual guides, renamed concepts, and a future post-mortem.",Community maintenance,B1,B4; B10,Documentation and governance proposal,Post hoc,Shared measurement procedure could convert local knowledge into portable evidence,Partial,Visualizations and proposed guide,B1,https://labautomation.io/t/plr-carrier-z-height-issue/3056?page=2,,High,"Positive response, although the full canonical guide was not confirmed in the reviewed material."
T26-E1,26,Automation Report Data,"The initiating report proposal includes instrument identity, run ID, method version, timestamps, errors, recoveries, user selections, and trace-log identity.",Execution monitoring,B5,B10,Field proposal,Runtime / post-run,Basic run summary supports troubleshooting and confidence,Open design,Text report design,,https://labautomation.io/t/automation-report-data/779,,High,Initial observability schema.
T26-E2,26,Automation Report Data,"Replies add reagent lots, worklist paths, third-party device status, key variables, liquid heights, temperature, and humidity.",Execution monitoring,B5,B1,Community field expansion,Runtime / post-run,"Relevant evidence extends across sample, environment, device, and configuration context",Open design,Expanded field list,,https://labautomation.io/t/automation-report-data/779,,High,Supports field-level coverage coding.
